det,channel,    slope,intercept
NaI0,0,1.0515873015873000,-38.007936507935900
NaI1,1,1.0244845360842700,-33.33054123711300
NaI2,2,1.0692669804976500,-5.9737726967043700
NaI3,3   ,1.0868079289131900,-33.574162679426300
NaI4,4   ,1.0529801324503300,-46.245695364238600
NaI5,5   ,1.0671140939597300,-37.214093959731400
NaI6,6   ,1.0743243243243200,-48.829054054054000
NaI7,7   ,1.0474308300395200,-36.363636363634900
NaI8,8   ,1.0628342245989300,-58.931149732619100
NaI9,9   ,1.0772357723577200,-48.477642276423500
NaI10,10,1.0495049504950500,-60.798019801980200
NaI11,11,1.0291262135922300,-23.050485436893300
NaI12,12,1.0801630434782600,-37.754755434784300
NaI13,13,1.0426229508196700,-34.670163934426000
NaI14,14,1.0297927461139900,-15.998704663211600
NaI15,15,1.0460526315789500,-66.049342105263100
